step,moves,tau,entropy,gini,drift
1,3579,0.250000,1.076646,0.474474,0.000000
2,3849,0.428571,0.716438,0.325360,0.000000
3,3885,0.625000,0.580164,0.255861,0.000000
4,3663,0.714286,0.548515,0.238801,0.000000
5,3881,0.750000,0.549482,0.239450,0.000000
6,3592,0.714286,0.440109,0.192664,0.000000
7,3857,0.833333,0.553793,0.239783,0.000000
8,3706,0.714286,0.406369,0.178614,0.000000
9,3638,0.833333,0.475013,0.206764,0.000000
10,3900,0.800000,0.464519,0.202360,0.000000
11,3852,0.800000,0.456797,0.198685,0.000000
12,3808,0.800000,0.444555,0.193626,0.000000
