step,moves,tau,entropy,gini,drift
1,109,0.363347,1.120895,0.490437,0.316364
2,6,0.503214,0.951505,0.422361,0.202239
3,1,0.568513,0.802539,0.358956,0.139914
4,1,0.604198,0.721491,0.324120,0.097183
5,1,0.624669,0.680403,0.306840,0.069546
6,0,0.637314,0.650860,0.293674,0.053579
7,0,0.645655,0.631616,0.285504,0.039794
8,0,0.650920,0.622387,0.281359,0.032409
9,0,0.655467,0.613313,0.277522,0.026221
10,0,0.658319,0.609217,0.275812,0.022793
11,0,0.660764,0.606126,0.274468,0.016910
12,0,0.662558,0.601831,0.272763,0.013509
13,0,0.663820,0.598082,0.271077,0.011594
14,0,0.664924,0.594454,0.269601,0.010242
15,0,0.665917,0.591966,0.268617,0.009373
16,0,0.666737,0.589657,0.267644,0.008615
