step,moves,tau,entropy,gini,drift
1,2176,0.271692,0.963358,0.426998,0.367736
2,655,0.443736,0.706140,0.319434,0.233856
3,229,0.528498,0.534766,0.244153,0.153420
4,140,0.583200,0.451135,0.207205,0.097231
5,97,0.609497,0.409052,0.188324,0.070887
6,85,0.626171,0.380046,0.175212,0.055658
7,67,0.637564,0.358697,0.165575,0.045061
8,67,0.645510,0.338360,0.156406,0.039895
9,62,0.652302,0.322778,0.149396,0.035750
10,61,0.657741,0.309746,0.143590,0.033508
11,68,0.662457,0.299242,0.138784,0.032407
12,66,0.667154,0.288069,0.133736,0.031314
