step,moves,tau,entropy,gini,drift
1,1438,0.150643,0.933619,0.414783,0.313595
2,581,0.325961,0.680218,0.307941,0.235020
3,136,0.458065,0.548464,0.250193,0.155830
4,24,0.531313,0.483306,0.222450,0.112771
5,8,0.572863,0.452514,0.208717,0.088617
6,4,0.600477,0.431375,0.199478,0.068624
7,2,0.619740,0.412232,0.190920,0.055644
8,4,0.633787,0.397439,0.184203,0.044128
9,5,0.644274,0.384376,0.178125,0.037252
10,3,0.652296,0.369524,0.171460,0.030680
11,1,0.658354,0.361801,0.167993,0.026516
12,0,0.663154,0.355548,0.165485,0.021901
13,0,0.667042,0.351106,0.163438,0.020092
14,0,0.670449,0.345791,0.161079,0.016564
15,0,0.673068,0.342558,0.159633,0.013934
16,1,0.675221,0.340472,0.158592,0.012392
