step,moves,tau,entropy,gini,drift
1,553,0.360830,1.100958,0.480754,0.320891
2,28,0.501835,0.916869,0.406683,0.203774
3,9,0.569063,0.785373,0.351886,0.136734
4,3,0.605564,0.707940,0.319217,0.094843
5,2,0.625260,0.667243,0.301782,0.068720
6,1,0.637489,0.641639,0.290471,0.052628
7,1,0.645500,0.623226,0.282530,0.041058
8,1,0.651175,0.610472,0.277204,0.032289
9,2,0.655246,0.603866,0.274175,0.025751
10,1,0.658312,0.596218,0.270804,0.022423
11,1,0.660757,0.587872,0.267076,0.018795
12,0,0.662747,0.583229,0.264892,0.015874
