step,moves,tau,entropy,gini,drift
1,4729,0.250000,1.070391,0.471179,0.000000
2,5180,0.428571,0.697194,0.315873,0.000000
3,5024,0.625000,0.552574,0.243851,0.000000
4,5342,0.750000,0.620747,0.269244,0.000000
5,4768,0.666667,0.408541,0.181570,0.000000
6,5016,0.833333,0.552144,0.239512,0.000000
7,4985,0.714286,0.417402,0.183492,0.000000
8,5015,0.833333,0.501614,0.217555,0.000000
9,5041,0.750000,0.414615,0.181806,0.000000
10,5066,0.833333,0.472046,0.204929,0.000000
11,5265,0.800000,0.458332,0.199495,0.000000
12,5176,0.800000,0.441102,0.192209,0.000000
