step,moves,tau,entropy,gini,drift
1,2707,0.130951,0.831899,0.373201,0.270105
2,1632,0.322928,0.533584,0.244101,0.216917
3,654,0.450222,0.408733,0.187513,0.158400
4,261,0.529911,0.346623,0.159424,0.116314
5,160,0.568389,0.317372,0.146138,0.094518
6,127,0.595390,0.295153,0.136211,0.076047
7,104,0.615374,0.284597,0.131489,0.064459
8,99,0.632732,0.269678,0.124791,0.057047
9,89,0.647221,0.260010,0.120273,0.050423
10,79,0.659685,0.250240,0.115739,0.044290
11,85,0.671118,0.239655,0.110947,0.038123
12,73,0.680831,0.229692,0.106467,0.032455
13,75,0.689311,0.223298,0.103673,0.027298
14,77,0.695673,0.214386,0.099529,0.024438
15,75,0.700477,0.207929,0.096510,0.023094
16,74,0.704057,0.199037,0.092383,0.022592
