step,moves,tau,entropy,gini,drift
1,40,0.363405,1.117482,0.487461,0.299637
2,2,0.497223,0.963560,0.426008,0.204474
3,0,0.565823,0.836172,0.371878,0.136380
4,1,0.600796,0.756721,0.338135,0.096182
5,3,0.622227,0.685702,0.306772,0.074766
6,0,0.635761,0.662209,0.296170,0.054357
7,0,0.644775,0.643610,0.288370,0.043965
8,0,0.650493,0.626080,0.280841,0.032708
9,0,0.654790,0.601954,0.271043,0.026056
10,0,0.657612,0.596401,0.268537,0.021024
11,0,0.660124,0.590210,0.265529,0.019287
12,0,0.662140,0.581054,0.261626,0.014841
13,0,0.663561,0.576385,0.259591,0.012198
14,0,0.664830,0.574830,0.259054,0.010812
15,0,0.665890,0.572444,0.257472,0.008591
16,0,0.666577,0.567191,0.255253,0.008001
