step,moves,tau,entropy,gini,drift
1,13,0.385664,1.084288,0.477819,0.306432
2,4,0.498189,0.877605,0.398322,0.197280
3,2,0.542854,0.711667,0.325790,0.143886
4,2,0.566062,0.624690,0.286198,0.106239
5,3,0.586947,0.543951,0.250084,0.083551
6,3,0.603879,0.508668,0.234291,0.065811
7,0,0.613247,0.487435,0.225125,0.046871
8,2,0.617782,0.439715,0.204216,0.049479
9,2,0.629148,0.413944,0.192218,0.046226
10,0,0.637934,0.400831,0.185966,0.035421
11,0,0.642357,0.386833,0.178923,0.027487
12,0,0.645788,0.382106,0.176768,0.021948
13,1,0.649197,0.366028,0.169333,0.022990
14,0,0.651975,0.362710,0.168163,0.016300
15,0,0.653714,0.360039,0.166963,0.015749
16,1,0.656543,0.356522,0.165144,0.014064
