step,moves,tau,entropy,gini,drift
1,51,0.273819,0.963084,0.428123,0.352060
2,16,0.449257,0.691995,0.317777,0.230100
3,5,0.530807,0.541819,0.249483,0.148329
4,3,0.587910,0.397257,0.184213,0.104989
5,2,0.619735,0.328403,0.152720,0.070700
6,0,0.638401,0.304005,0.141660,0.052924
7,2,0.650965,0.298771,0.139241,0.036458
8,2,0.655664,0.293279,0.136256,0.038717
9,0,0.662867,0.292100,0.135550,0.029383
10,1,0.666469,0.286728,0.132860,0.027770
11,2,0.668931,0.276745,0.128681,0.027496
12,0,0.673231,0.270468,0.125297,0.026551
13,0,0.676025,0.264251,0.122850,0.021332
14,1,0.677838,0.250366,0.117427,0.029120
15,0,0.681659,0.240573,0.112205,0.027446
16,0,0.685562,0.240573,0.112205,0.031614
