step,moves,tau,entropy,gini,drift
1,4,0.504401,1.105980,0.483490,0.275330
2,2,0.589378,0.922120,0.407725,0.200977
3,0,0.623826,0.834866,0.370923,0.120843
4,0,0.646745,0.754273,0.337606,0.097237
5,2,0.656609,0.711341,0.319549,0.072265
6,1,0.662213,0.676946,0.303780,0.063038
7,0,0.669662,0.660951,0.298228,0.048585
8,0,0.674572,0.640981,0.289865,0.031055
9,0,0.677348,0.641342,0.290338,0.020007
10,0,0.679166,0.629415,0.285041,0.016825
11,0,0.680517,0.625923,0.283462,0.017688
12,0,0.680982,0.606146,0.274913,0.015206
13,0,0.682011,0.606146,0.274913,0.011968
14,0,0.682460,0.612493,0.277852,0.010526
15,0,0.683162,0.612493,0.277852,0.006628
16,0,0.683563,0.612493,0.277852,0.007166
