step,moves,tau,entropy,gini,drift
1,320,0.162794,0.910280,0.405084,0.307407
2,105,0.339695,0.647513,0.293531,0.229152
3,15,0.471129,0.539194,0.246272,0.144652
4,1,0.537750,0.484041,0.222545,0.107233
5,0,0.577861,0.453812,0.209393,0.085523
6,2,0.604438,0.430026,0.199392,0.066704
7,0,0.622894,0.404793,0.187727,0.053653
8,0,0.636819,0.389108,0.180688,0.043586
9,0,0.646614,0.374515,0.174419,0.035317
10,0,0.653918,0.364025,0.169976,0.029277
11,0,0.659896,0.358113,0.167275,0.025949
12,0,0.664504,0.349719,0.163149,0.020459
13,0,0.667984,0.345047,0.161073,0.018858
14,0,0.670316,0.335531,0.156845,0.016215
15,1,0.672898,0.334109,0.156179,0.014216
16,0,0.674948,0.331488,0.155049,0.014198
