step,moves,tau,entropy,gini,drift
1,79,0.377036,1.064306,0.469031,0.335014
2,15,0.504324,0.808947,0.365746,0.213810
3,4,0.558293,0.649309,0.295468,0.154714
4,14,0.588298,0.534900,0.245160,0.110528
5,5,0.610223,0.473962,0.216630,0.075406
6,2,0.626767,0.427650,0.195946,0.056710
7,4,0.637252,0.391896,0.180423,0.048098
8,1,0.644680,0.372848,0.172231,0.039957
9,5,0.651816,0.358949,0.165951,0.034901
10,5,0.656971,0.332820,0.153321,0.032561
11,7,0.662288,0.317379,0.146833,0.032751
12,7,0.666673,0.303425,0.140597,0.030429
13,6,0.670477,0.296705,0.137244,0.026502
14,4,0.673395,0.284027,0.131343,0.025022
15,5,0.677791,0.272013,0.125558,0.026682
16,2,0.681437,0.258857,0.120019,0.024237
