step,moves,tau,entropy,gini,drift
1,3000,0.273801,0.961501,0.426531,0.367529
2,960,0.444201,0.690886,0.313084,0.238477
3,349,0.532381,0.505321,0.231196,0.155799
4,212,0.587992,0.421775,0.194056,0.098496
5,168,0.615564,0.379316,0.174874,0.070514
6,162,0.631915,0.349351,0.161220,0.057281
7,126,0.643895,0.326225,0.150691,0.049150
8,113,0.653021,0.307682,0.142440,0.043871
9,119,0.660479,0.292146,0.135400,0.041307
10,119,0.666592,0.276997,0.128472,0.040663
11,107,0.672000,0.265641,0.123265,0.038832
12,105,0.677141,0.254200,0.118157,0.038356
