step,moves,tau,entropy,gini,drift
1,178,0.383530,1.003517,0.443756,0.342986
2,43,0.514451,0.738302,0.335899,0.210185
3,21,0.565113,0.584251,0.267982,0.146436
4,23,0.597665,0.494811,0.227892,0.096432
5,19,0.615418,0.451578,0.208372,0.067657
6,20,0.627363,0.420588,0.194572,0.055620
7,19,0.636923,0.390880,0.181510,0.048176
8,14,0.644393,0.374512,0.173910,0.039029
9,11,0.651083,0.359240,0.166772,0.033625
10,17,0.656142,0.341347,0.158573,0.030907
11,13,0.661557,0.329565,0.152945,0.027792
12,13,0.666433,0.315855,0.146630,0.026351
13,13,0.670256,0.305464,0.142133,0.025026
14,14,0.673723,0.296817,0.138032,0.023400
15,7,0.677242,0.290824,0.135408,0.020226
16,8,0.679450,0.282013,0.131178,0.020159
