step,moves,tau,entropy,gini,drift
1,1172,0.373466,1.041008,0.458302,0.355340
2,289,0.505227,0.792121,0.357916,0.214957
3,149,0.560363,0.597519,0.273200,0.157497
4,131,0.594907,0.483787,0.221863,0.106191
5,102,0.617530,0.432241,0.198805,0.074006
6,108,0.631274,0.395906,0.182342,0.057757
7,90,0.641730,0.369157,0.170387,0.047613
8,69,0.649626,0.349000,0.161331,0.040351
9,62,0.656283,0.335093,0.155067,0.034892
10,50,0.661672,0.323096,0.149726,0.029789
11,53,0.665902,0.310155,0.143834,0.027382
12,50,0.670097,0.298492,0.138420,0.026137
