step,moves,tau,entropy,gini,drift
1,392,0.362088,1.091980,0.477017,0.323822
2,20,0.504333,0.900076,0.399719,0.202715
3,3,0.572559,0.768540,0.344524,0.135487
4,2,0.608084,0.684063,0.308159,0.094173
5,1,0.628340,0.641364,0.289629,0.068752
6,2,0.639939,0.613326,0.277540,0.051565
7,1,0.647872,0.592059,0.268411,0.040138
8,0,0.653149,0.578958,0.262836,0.032460
9,0,0.657288,0.566560,0.257691,0.025715
10,0,0.660391,0.560325,0.254846,0.020812
11,0,0.662716,0.555864,0.252956,0.016866
12,0,0.664388,0.551578,0.251052,0.013953
13,0,0.665853,0.547288,0.249331,0.011289
14,0,0.667104,0.545394,0.248574,0.009882
15,0,0.668106,0.543561,0.247772,0.009131
16,1,0.668926,0.540725,0.246555,0.009086
