step,moves,tau,entropy,gini,drift
1,347,0.359283,1.112218,0.485465,0.320485
2,15,0.500316,0.941947,0.417644,0.202155
3,3,0.567375,0.810496,0.362825,0.136926
4,0,0.603701,0.732112,0.329004,0.096800
5,3,0.624027,0.686707,0.309640,0.069787
6,1,0.636385,0.659465,0.298048,0.051684
7,1,0.644589,0.639418,0.289580,0.041267
8,0,0.650369,0.625846,0.283638,0.033471
9,0,0.654638,0.612076,0.277805,0.027347
10,0,0.657866,0.604430,0.274494,0.023229
11,0,0.660547,0.596124,0.270903,0.019208
12,0,0.662554,0.589701,0.268113,0.016686
13,0,0.664419,0.582667,0.265038,0.014113
14,0,0.665912,0.578243,0.263274,0.012645
15,0,0.667093,0.574948,0.261866,0.010465
16,0,0.668128,0.572246,0.260674,0.009170
