step,moves,tau,entropy,gini,drift
1,94,0.200000,1.083764,0.478434,0.000000
2,94,0.375000,0.742550,0.335154,0.000000
3,105,0.600000,0.536833,0.238084,0.000000
4,100,0.714286,0.466818,0.204401,0.000000
5,103,0.800000,0.541312,0.236548,0.000000
6,100,0.714286,0.461493,0.202485,0.000000
7,103,0.800000,0.489477,0.215763,0.000000
8,105,0.750000,0.420091,0.186296,0.000000
9,103,0.800000,0.538455,0.233591,0.000000
10,103,0.714286,0.343549,0.152847,0.000000
11,104,0.857143,0.460668,0.201036,0.000000
12,109,0.800000,0.441616,0.194664,0.000000
13,110,0.800000,0.459559,0.200782,0.000000
14,101,0.750000,0.406893,0.182317,0.000000
15,107,0.800000,0.459479,0.200301,0.000000
16,97,0.750000,0.323745,0.145075,0.000000
