step,moves,tau,entropy,gini,drift
1,1211,0.376384,1.033248,0.455494,0.355360
2,287,0.508238,0.771376,0.349584,0.214510
3,149,0.562825,0.577236,0.263950,0.157826
4,153,0.598679,0.471353,0.216532,0.105811
5,124,0.620773,0.415558,0.191548,0.075439
6,107,0.635953,0.381901,0.176449,0.058614
7,101,0.646198,0.358032,0.165788,0.047750
8,102,0.654534,0.336176,0.155936,0.041854
9,68,0.661719,0.320473,0.148754,0.035689
10,72,0.667534,0.305220,0.141872,0.032969
11,80,0.672834,0.290932,0.135205,0.031899
12,71,0.677850,0.277639,0.129102,0.030449
