step,moves,tau,entropy,gini,drift
1,5332,0.131850,0.848096,0.380257,0.267951
2,3325,0.322260,0.536953,0.246711,0.217343
3,1302,0.449285,0.421244,0.193789,0.158432
4,560,0.526699,0.358315,0.165361,0.116563
5,337,0.565787,0.327254,0.151379,0.095418
6,245,0.592845,0.308312,0.142739,0.076704
7,231,0.613329,0.293984,0.136191,0.064652
8,228,0.630024,0.281449,0.130417,0.056361
9,230,0.643667,0.266814,0.123816,0.049983
10,202,0.655592,0.256365,0.118930,0.044936
11,194,0.666432,0.248437,0.115328,0.039578
12,192,0.676191,0.240474,0.111659,0.034040
