step,moves,tau,entropy,gini,drift
1,2406,0.250000,1.083194,0.476314,0.000000
2,2729,0.428571,0.709618,0.321262,0.000000
3,2636,0.625000,0.583326,0.256680,0.000000
4,2545,0.714286,0.571637,0.249285,0.000000
5,2546,0.714286,0.507470,0.221599,0.000000
6,2503,0.750000,0.487600,0.212923,0.000000
7,2692,0.800000,0.531954,0.231739,0.000000
8,2503,0.714286,0.404168,0.177380,0.000000
9,2551,0.833333,0.493649,0.214724,0.000000
10,2582,0.750000,0.413233,0.181483,0.000000
11,2605,0.833333,0.470800,0.205585,0.000000
12,2499,0.750000,0.395480,0.173995,0.000000
13,2516,0.833333,0.457169,0.198883,0.000000
14,2640,0.800000,0.426295,0.186786,0.000000
15,2719,0.833333,0.470895,0.205099,0.000000
16,2573,0.750000,0.371842,0.163584,0.000000
