step,moves,tau,entropy,gini,drift
1,2404,0.250000,1.073954,0.473074,0.000000
2,2653,0.428571,0.713573,0.323393,0.000000
3,2644,0.625000,0.586405,0.258666,0.000000
4,2574,0.714286,0.566607,0.247092,0.000000
5,2526,0.714286,0.498850,0.217756,0.000000
6,2702,0.800000,0.552107,0.239279,0.000000
7,2526,0.714286,0.414887,0.181950,0.000000
8,2538,0.833333,0.480739,0.209604,0.000000
9,2506,0.750000,0.409011,0.179115,0.000000
10,2580,0.833333,0.473438,0.205894,0.000000
11,2717,0.800000,0.458165,0.199971,0.000000
12,2679,0.800000,0.442374,0.193264,0.000000
13,2588,0.800000,0.421853,0.184448,0.000000
14,2674,0.833333,0.458534,0.199497,0.000000
15,2713,0.800000,0.428600,0.187464,0.000000
16,2588,0.800000,0.409849,0.179809,0.000000
