step,moves,tau,entropy,gini,drift
1,1579,0.250000,1.067610,0.470577,0.000000
2,1645,0.428571,0.703256,0.319644,0.000000
3,1652,0.625000,0.567349,0.251137,0.000000
4,1571,0.714286,0.561981,0.245531,0.000000
5,1564,0.714286,0.500131,0.218475,0.000000
6,1748,0.800000,0.578584,0.250354,0.000000
7,1673,0.714286,0.451823,0.198070,0.000000
8,1655,0.800000,0.501788,0.218851,0.000000
9,1658,0.750000,0.447441,0.195930,0.000000
10,1629,0.800000,0.454918,0.198014,0.000000
11,1651,0.800000,0.438870,0.191331,0.000000
12,1602,0.800000,0.427166,0.186479,0.000000
13,1738,0.833333,0.481831,0.209796,0.000000
14,1676,0.750000,0.409061,0.178717,0.000000
15,1654,0.833333,0.441287,0.192801,0.000000
16,1689,0.800000,0.424228,0.185368,0.000000
