step,moves,tau,entropy,gini,drift
1,2147,0.271337,0.974581,0.431694,0.366853
2,694,0.442064,0.706569,0.319981,0.236997
3,256,0.529765,0.518271,0.237272,0.157131
4,142,0.586082,0.427217,0.196235,0.100230
5,106,0.614120,0.378958,0.174579,0.072419
6,89,0.632214,0.348877,0.161024,0.056898
7,82,0.644239,0.328317,0.151851,0.047966
8,85,0.652841,0.310147,0.143511,0.044347
9,70,0.660045,0.289746,0.134374,0.041848
10,64,0.666369,0.275401,0.127966,0.039544
11,56,0.671819,0.265394,0.123255,0.037890
12,62,0.676789,0.252606,0.117429,0.036843
