step,moves,tau,entropy,gini,drift
1,359,0.382247,1.033605,0.456142,0.341434
2,95,0.507899,0.779122,0.352428,0.213672
3,59,0.562480,0.582709,0.266490,0.155581
4,42,0.596934,0.483200,0.221059,0.103565
5,40,0.618099,0.424047,0.194536,0.075200
6,34,0.633235,0.386599,0.177678,0.057769
7,24,0.643830,0.363193,0.167378,0.045761
8,27,0.651915,0.340933,0.157376,0.039948
9,19,0.658464,0.325325,0.150317,0.034447
10,16,0.664588,0.312100,0.143932,0.030609
11,17,0.670015,0.299214,0.138371,0.029413
12,12,0.674421,0.285959,0.132547,0.027501
13,17,0.678472,0.272164,0.126237,0.027515
14,13,0.682828,0.262542,0.121690,0.025949
15,15,0.686466,0.253067,0.117322,0.025163
16,17,0.690103,0.239708,0.111099,0.027502
