step,moves,tau,entropy,gini,drift
1,828,0.356301,1.102105,0.480629,0.327557
2,56,0.500901,0.918186,0.407390,0.206299
3,5,0.569962,0.790751,0.353871,0.136773
4,3,0.605607,0.710586,0.319775,0.095612
5,1,0.625249,0.665144,0.300049,0.068902
6,0,0.637288,0.637868,0.288366,0.052431
7,2,0.645474,0.621594,0.281310,0.040963
8,0,0.651161,0.607379,0.275161,0.031915
9,2,0.655246,0.597090,0.270639,0.026210
10,0,0.658275,0.587837,0.266810,0.021714
11,0,0.660667,0.580191,0.263478,0.017701
12,1,0.662739,0.574676,0.260999,0.015482
