step,moves,tau,entropy,gini,drift
1,2424,0.250000,1.054793,0.466476,0.000000
2,2631,0.428571,0.691000,0.314575,0.000000
3,2545,0.625000,0.540411,0.240117,0.000000
4,2397,0.714286,0.510296,0.223101,0.000000
5,2525,0.750000,0.510322,0.223167,0.000000
6,2549,0.750000,0.474701,0.207496,0.000000
7,2663,0.800000,0.497547,0.216392,0.000000
8,2554,0.750000,0.425010,0.186136,0.000000
9,2672,0.833333,0.490589,0.213183,0.000000
10,2572,0.750000,0.375013,0.165035,0.000000
11,2390,0.833333,0.412563,0.180258,0.000000
12,2595,0.833333,0.446892,0.194808,0.000000
13,2640,0.800000,0.418773,0.182601,0.000000
14,2652,0.833333,0.448507,0.195542,0.000000
15,2654,0.800000,0.413944,0.180988,0.000000
16,2643,0.833333,0.440479,0.192197,0.000000
