step,moves,tau,entropy,gini,drift
1,407,0.250000,1.013412,0.448890,0.000000
2,390,0.428571,0.657506,0.299808,0.000000
3,411,0.666667,0.474723,0.209934,0.000000
4,406,0.800000,0.579601,0.251939,0.000000
5,418,0.714286,0.465513,0.204048,0.000000
6,428,0.800000,0.509961,0.223163,0.000000
7,420,0.750000,0.420864,0.184504,0.000000
8,414,0.833333,0.472178,0.205898,0.000000
9,397,0.750000,0.379488,0.166811,0.000000
10,432,0.857143,0.454044,0.199345,0.000000
11,431,0.800000,0.434057,0.190461,0.000000
12,405,0.800000,0.410758,0.180789,0.000000
13,431,0.833333,0.471418,0.205488,0.000000
14,408,0.750000,0.393739,0.172182,0.000000
15,396,0.833333,0.411612,0.178542,0.000000
16,415,0.833333,0.444017,0.193691,0.000000
