step,moves,tau,entropy,gini,drift
1,409,0.250000,1.066854,0.468441,0.000000
2,394,0.400000,0.723003,0.327693,0.000000
3,386,0.600000,0.533134,0.241316,0.000000
4,432,0.750000,0.641024,0.279534,0.000000
5,396,0.666667,0.414863,0.186129,0.000000
6,422,0.833333,0.564738,0.245586,0.000000
7,418,0.714286,0.413278,0.182935,0.000000
8,434,0.833333,0.532338,0.231837,0.000000
9,422,0.714286,0.380070,0.168043,0.000000
10,392,0.833333,0.434097,0.189676,0.000000
11,404,0.800000,0.399894,0.176509,0.000000
12,408,0.833333,0.421017,0.184702,0.000000
13,431,0.833333,0.461988,0.201365,0.000000
14,403,0.750000,0.362644,0.160881,0.000000
15,419,0.857143,0.474701,0.207882,0.000000
16,426,0.750000,0.381135,0.169875,0.000000
