step,moves,tau,entropy,gini,drift
1,781,0.358295,1.105430,0.482335,0.324929
2,37,0.502876,0.923431,0.409557,0.204260
3,6,0.570772,0.785280,0.351504,0.136802
4,4,0.606482,0.704981,0.317258,0.094528
5,1,0.626302,0.660775,0.298410,0.068335
6,3,0.638133,0.633447,0.286729,0.051899
7,2,0.646215,0.616003,0.279130,0.040441
8,2,0.651673,0.600837,0.272594,0.032048
9,0,0.655853,0.590521,0.268071,0.026744
10,1,0.658911,0.582289,0.264434,0.022275
11,0,0.661409,0.575831,0.261696,0.018644
12,1,0.663351,0.570529,0.259378,0.015243
