step,moves,tau,entropy,gini,drift
1,2415,0.250000,1.070420,0.471457,0.000000
2,2674,0.428571,0.709905,0.322217,0.000000
3,2641,0.625000,0.574750,0.253443,0.000000
4,2519,0.714286,0.564393,0.246341,0.000000
5,2477,0.714286,0.480621,0.210551,0.000000
6,2687,0.800000,0.546668,0.237445,0.000000
7,2505,0.714286,0.400831,0.176189,0.000000
8,2517,0.833333,0.495856,0.215664,0.000000
9,2547,0.750000,0.417663,0.183615,0.000000
10,2589,0.833333,0.492049,0.213718,0.000000
11,2579,0.750000,0.411152,0.180053,0.000000
12,2587,0.833333,0.460209,0.199886,0.000000
13,2653,0.800000,0.441983,0.192875,0.000000
14,2563,0.800000,0.416530,0.181947,0.000000
15,2633,0.833333,0.460367,0.200285,0.000000
16,2692,0.800000,0.431039,0.188908,0.000000
