step,moves,tau,entropy,gini,drift
1,397,0.250000,1.068010,0.468997,0.000000
2,433,0.428571,0.680324,0.309489,0.000000
3,407,0.625000,0.558773,0.247023,0.000000
4,389,0.714286,0.543694,0.237810,0.000000
5,431,0.750000,0.555478,0.240496,0.000000
6,408,0.714286,0.452711,0.197932,0.000000
7,419,0.800000,0.473795,0.207603,0.000000
8,407,0.750000,0.407618,0.177815,0.000000
9,412,0.833333,0.467832,0.203832,0.000000
10,443,0.800000,0.457237,0.199910,0.000000
11,435,0.800000,0.463111,0.201864,0.000000
12,400,0.750000,0.386016,0.169954,0.000000
13,416,0.833333,0.478932,0.207277,0.000000
14,411,0.750000,0.392658,0.171736,0.000000
15,404,0.833333,0.434608,0.189007,0.000000
16,421,0.800000,0.426623,0.187826,0.000000
