step,moves,tau,entropy,gini,drift
1,3473,0.149778,0.918961,0.408499,0.315633
2,1450,0.330239,0.654725,0.296007,0.234956
3,403,0.459784,0.516943,0.235800,0.160813
4,91,0.534563,0.455008,0.209149,0.113487
5,27,0.574567,0.427938,0.197489,0.089446
6,19,0.602731,0.405285,0.187309,0.068761
7,10,0.622187,0.386043,0.178640,0.054949
8,5,0.636519,0.372159,0.172446,0.043537
9,1,0.646630,0.363362,0.168500,0.035330
10,1,0.653978,0.355939,0.165154,0.030064
11,0,0.659899,0.348018,0.161629,0.025111
12,2,0.664415,0.341480,0.158665,0.021576
