step,moves,tau,entropy,gini,drift
1,53,0.486225,1.132038,0.493377,0.298331
2,11,0.581230,0.961717,0.426043,0.190550
3,1,0.621337,0.864605,0.385530,0.126867
4,1,0.642117,0.802606,0.359235,0.089531
5,3,0.654519,0.763897,0.342563,0.063344
6,0,0.661709,0.740338,0.331960,0.048406
7,0,0.666593,0.724927,0.325445,0.037190
8,1,0.669999,0.716165,0.321735,0.028269
9,1,0.672287,0.706438,0.317419,0.022897
10,0,0.674053,0.697093,0.313455,0.019568
11,0,0.675578,0.691949,0.311132,0.015896
12,0,0.676768,0.688404,0.309599,0.012477
13,0,0.677654,0.684411,0.308021,0.010283
14,0,0.678329,0.682464,0.307227,0.008879
15,0,0.678918,0.680029,0.306035,0.007082
16,0,0.679347,0.678322,0.305293,0.006128
