step,moves,tau,entropy,gini,drift
1,2444,0.250000,1.069275,0.472216,0.000000
2,2680,0.428571,0.694948,0.316113,0.000000
3,2616,0.625000,0.573501,0.253077,0.000000
4,2512,0.714286,0.556236,0.242896,0.000000
5,2408,0.714286,0.482556,0.210654,0.000000
6,2651,0.800000,0.542765,0.235671,0.000000
7,2496,0.714286,0.415684,0.182712,0.000000
8,2556,0.833333,0.497724,0.216092,0.000000
9,2575,0.750000,0.421439,0.185080,0.000000
10,2638,0.833333,0.492563,0.213741,0.000000
11,2572,0.750000,0.409672,0.179878,0.000000
12,2604,0.833333,0.466725,0.202799,0.000000
13,2721,0.800000,0.448123,0.195599,0.000000
14,2622,0.800000,0.428666,0.186904,0.000000
15,2712,0.833333,0.463791,0.202269,0.000000
16,2513,0.750000,0.362779,0.159683,0.000000
