step,moves,tau,entropy,gini,drift
1,319,0.147184,0.933695,0.413147,0.310078
2,105,0.331005,0.687191,0.307947,0.227038
3,15,0.460379,0.560624,0.253861,0.148194
4,7,0.528039,0.514317,0.234767,0.109465
5,2,0.566412,0.487620,0.223463,0.083938
6,0,0.591963,0.450462,0.207555,0.066645
7,0,0.611859,0.439470,0.203074,0.051832
8,0,0.624614,0.424473,0.195728,0.041850
9,0,0.632947,0.417630,0.192883,0.036476
10,0,0.640215,0.405037,0.187110,0.030398
11,1,0.645746,0.396441,0.183535,0.026191
12,0,0.651081,0.392077,0.181629,0.022038
13,0,0.654749,0.385984,0.178952,0.019348
14,0,0.657628,0.380109,0.176600,0.015666
15,0,0.660048,0.376381,0.175302,0.015082
16,0,0.662080,0.373761,0.174171,0.012290
