step,moves,tau,entropy,gini,drift
1,373,0.250000,1.051907,0.466904,0.000000
2,411,0.428571,0.686769,0.313530,0.000000
3,407,0.625000,0.545866,0.241233,0.000000
4,389,0.714286,0.518176,0.226353,0.000000
5,406,0.750000,0.482882,0.210856,0.000000
6,428,0.800000,0.454996,0.199833,0.000000
7,418,0.800000,0.466333,0.202882,0.000000
8,413,0.800000,0.456362,0.199283,0.000000
9,426,0.800000,0.450148,0.196495,0.000000
10,421,0.800000,0.431456,0.188455,0.000000
11,400,0.800000,0.433514,0.189136,0.000000
12,435,0.833333,0.471285,0.204532,0.000000
13,424,0.800000,0.444334,0.194318,0.000000
14,423,0.800000,0.432943,0.189165,0.000000
15,423,0.800000,0.409993,0.179664,0.000000
16,431,0.833333,0.460314,0.199593,0.000000
