step,moves,tau,entropy,gini,drift
1,4871,0.147115,0.910193,0.404079,0.315870
2,2093,0.328943,0.633056,0.286184,0.236136
3,564,0.461590,0.493659,0.225078,0.161192
4,131,0.537378,0.434660,0.199498,0.113583
5,49,0.577057,0.403115,0.185557,0.089978
6,19,0.605260,0.382730,0.176507,0.069189
7,9,0.625109,0.363902,0.168129,0.055470
8,7,0.639443,0.349761,0.161944,0.044188
9,7,0.650310,0.340219,0.157714,0.036204
10,4,0.658028,0.331966,0.153989,0.029718
11,4,0.663889,0.325623,0.151107,0.025039
12,4,0.668453,0.319854,0.148443,0.021468
