step,moves,tau,entropy,gini,drift
1,195,0.276278,1.006572,0.442599,0.351575
2,44,0.435142,0.770686,0.346210,0.221952
3,4,0.522258,0.580793,0.264575,0.148725
4,8,0.575230,0.473981,0.217044,0.097855
5,6,0.600862,0.428201,0.197121,0.069934
6,9,0.616706,0.405424,0.186945,0.054157
7,5,0.626262,0.387119,0.178467,0.043140
8,4,0.632852,0.373224,0.172366,0.036113
9,4,0.639875,0.358985,0.165837,0.030181
10,1,0.644198,0.351759,0.162473,0.025884
11,1,0.648484,0.343750,0.159128,0.024374
12,3,0.651577,0.335217,0.155254,0.023615
13,4,0.654317,0.329107,0.152464,0.022873
14,3,0.657191,0.322945,0.149731,0.022909
15,0,0.660799,0.316149,0.146618,0.017828
16,5,0.663163,0.306959,0.142624,0.020438
