step,moves,tau,entropy,gini,drift
1,1118,0.375283,1.044262,0.459637,0.352142
2,260,0.506395,0.789304,0.356903,0.214647
3,149,0.561139,0.591369,0.270507,0.158157
4,126,0.595794,0.483620,0.221934,0.107061
5,112,0.618254,0.426419,0.196567,0.075184
6,101,0.633079,0.392189,0.181276,0.057774
7,74,0.643392,0.366837,0.169870,0.046505
8,71,0.651108,0.346090,0.160534,0.039863
9,62,0.657874,0.327988,0.152380,0.034989
10,66,0.663412,0.313725,0.145756,0.032014
11,59,0.668591,0.299762,0.139362,0.029693
12,61,0.673357,0.285588,0.132888,0.029042
