step,moves,tau,entropy,gini,drift
1,851,0.250000,1.047377,0.461038,0.000000
2,903,0.428571,0.688725,0.313129,0.000000
3,928,0.625000,0.551845,0.244971,0.000000
4,869,0.714286,0.539048,0.236220,0.000000
5,943,0.750000,0.547470,0.239208,0.000000
6,904,0.714286,0.467400,0.204495,0.000000
7,941,0.800000,0.531404,0.230097,0.000000
8,984,0.750000,0.475442,0.207861,0.000000
9,965,0.800000,0.487932,0.213070,0.000000
10,926,0.750000,0.411811,0.180789,0.000000
11,919,0.833333,0.479511,0.207833,0.000000
12,897,0.750000,0.401068,0.175676,0.000000
13,926,0.833333,0.439496,0.191687,0.000000
14,928,0.800000,0.418064,0.182977,0.000000
15,940,0.833333,0.461741,0.201574,0.000000
16,976,0.800000,0.432555,0.189259,0.000000
