step,moves,tau,entropy,gini,drift
1,861,0.250000,1.068954,0.470107,0.000000
2,960,0.428571,0.692361,0.313703,0.000000
3,918,0.625000,0.578228,0.255325,0.000000
4,917,0.714286,0.575563,0.250663,0.000000
5,903,0.714286,0.530058,0.231317,0.000000
6,962,0.750000,0.556146,0.242099,0.000000
7,916,0.714286,0.473151,0.206600,0.000000
8,935,0.800000,0.523445,0.227445,0.000000
9,980,0.750000,0.513863,0.224255,0.000000
10,962,0.750000,0.499441,0.217737,0.000000
11,955,0.750000,0.473231,0.206558,0.000000
12,994,0.800000,0.509309,0.221459,0.000000
13,968,0.750000,0.465965,0.202922,0.000000
14,976,0.800000,0.498843,0.215961,0.000000
15,932,0.750000,0.426642,0.186658,0.000000
16,988,0.833333,0.507874,0.220196,0.000000
