step,moves,tau,entropy,gini,drift
1,3001,0.277276,0.954783,0.424305,0.367341
2,943,0.448147,0.686902,0.311821,0.236383
3,348,0.534686,0.503472,0.230521,0.154184
4,223,0.588307,0.421043,0.193437,0.097334
5,166,0.614494,0.378123,0.174207,0.070556
6,166,0.630511,0.352130,0.162464,0.056361
7,137,0.642239,0.329843,0.152425,0.048453
8,128,0.651304,0.312098,0.144371,0.043224
9,116,0.658558,0.295840,0.137008,0.039186
10,103,0.664282,0.283137,0.131206,0.038157
11,95,0.669564,0.271946,0.126173,0.036603
12,98,0.674618,0.261721,0.121507,0.035823
