step,moves,tau,entropy,gini,drift
1,4735,0.250000,1.069600,0.470792,0.000000
2,5186,0.428571,0.694808,0.315610,0.000000
3,4994,0.625000,0.543501,0.240660,0.000000
4,5199,0.750000,0.611512,0.265677,0.000000
5,4621,0.666667,0.396553,0.176618,0.000000
6,4895,0.833333,0.547374,0.237342,0.000000
7,4855,0.714286,0.414376,0.182135,0.000000
8,5020,0.833333,0.505375,0.219718,0.000000
9,5133,0.750000,0.426485,0.186954,0.000000
10,5281,0.833333,0.498844,0.216610,0.000000
11,5106,0.750000,0.406342,0.178756,0.000000
12,5047,0.833333,0.462156,0.201119,0.000000
