step,moves,tau,entropy,gini,drift
1,199,0.289951,0.931784,0.414395,0.351401
2,65,0.447320,0.674827,0.305194,0.227831
3,33,0.532795,0.479048,0.219522,0.153370
4,24,0.587766,0.401367,0.185584,0.099266
5,19,0.614976,0.355671,0.165154,0.076179
6,14,0.634138,0.334893,0.155698,0.059737
7,14,0.645997,0.307641,0.143121,0.052209
8,15,0.655210,0.290431,0.135529,0.045848
9,12,0.661350,0.272237,0.127250,0.042264
10,8,0.668022,0.254976,0.119157,0.040102
11,10,0.673776,0.235426,0.110083,0.046468
12,5,0.680048,0.218965,0.102922,0.043709
13,6,0.686520,0.207042,0.097358,0.043410
14,6,0.692302,0.197244,0.092827,0.042253
15,5,0.698123,0.188899,0.089113,0.038908
16,4,0.702776,0.183894,0.086701,0.035575
