step,moves,tau,entropy,gini,drift
1,3569,0.250000,1.055215,0.465273,0.000000
2,3755,0.428571,0.691175,0.313993,0.000000
3,3682,0.625000,0.546011,0.241138,0.000000
4,3861,0.750000,0.616534,0.267424,0.000000
5,3469,0.666667,0.409175,0.182198,0.000000
6,3680,0.833333,0.555418,0.240915,0.000000
7,3638,0.714286,0.415016,0.182828,0.000000
8,3756,0.833333,0.517811,0.224351,0.000000
9,3859,0.750000,0.434449,0.190370,0.000000
10,3587,0.800000,0.424431,0.184812,0.000000
11,3800,0.833333,0.489335,0.212942,0.000000
12,3746,0.750000,0.407433,0.178227,0.000000
