step,moves,tau,entropy,gini,drift
1,3918,0.130730,0.841546,0.377525,0.269538
2,2386,0.322688,0.533166,0.244687,0.217210
3,894,0.449823,0.422074,0.194292,0.156907
4,327,0.525606,0.369936,0.170681,0.113371
5,205,0.563649,0.342241,0.158292,0.092168
6,148,0.589873,0.323113,0.149429,0.072799
7,138,0.609391,0.308153,0.142752,0.061415
8,123,0.625118,0.294719,0.136553,0.053066
9,122,0.637852,0.284614,0.132029,0.046420
10,106,0.648701,0.274386,0.127203,0.041220
11,100,0.658352,0.268156,0.124361,0.037332
12,98,0.666892,0.257563,0.119548,0.033384
