step,moves,tau,entropy,gini,drift
1,911,0.250000,1.086501,0.478360,0.000000
2,874,0.400000,0.751508,0.339760,0.000000
3,937,0.600000,0.527615,0.235123,0.000000
4,920,0.750000,0.592255,0.257341,0.000000
5,935,0.714286,0.507735,0.222759,0.000000
6,888,0.750000,0.491493,0.215392,0.000000
7,888,0.750000,0.464166,0.204302,0.000000
8,972,0.800000,0.512458,0.222974,0.000000
9,971,0.750000,0.445766,0.196654,0.000000
10,935,0.800000,0.450869,0.196578,0.000000
11,906,0.800000,0.451425,0.197661,0.000000
12,931,0.800000,0.450287,0.196049,0.000000
13,910,0.800000,0.431352,0.188787,0.000000
14,900,0.800000,0.425163,0.185469,0.000000
15,941,0.833333,0.477206,0.208159,0.000000
16,908,0.750000,0.363891,0.159908,0.000000
