step,moves,tau,entropy,gini,drift
1,857,0.377636,1.041633,0.458223,0.350792
2,225,0.505237,0.783131,0.353856,0.216712
3,119,0.560498,0.590817,0.270035,0.156080
4,102,0.594546,0.481157,0.221197,0.105963
5,94,0.617658,0.424546,0.195646,0.074712
6,81,0.632663,0.386189,0.178386,0.058620
7,71,0.643685,0.361826,0.167290,0.047737
8,58,0.652681,0.341467,0.157972,0.041134
9,56,0.659932,0.322656,0.149351,0.036446
10,36,0.665792,0.307310,0.142395,0.032872
11,45,0.670934,0.292205,0.135528,0.030898
12,31,0.675518,0.277288,0.128841,0.028407
