step,moves,tau,entropy,gini,drift
1,66,0.150079,1.029702,0.457299,0.304363
2,12,0.335439,0.853752,0.383184,0.214522
3,0,0.452603,0.731160,0.330663,0.147096
4,0,0.521573,0.627140,0.285588,0.111627
5,0,0.563287,0.609997,0.279514,0.086237
6,0,0.591104,0.561095,0.258198,0.067263
7,0,0.611529,0.499348,0.230845,0.055905
8,0,0.625543,0.475194,0.220277,0.043311
9,0,0.634825,0.461270,0.215036,0.036895
10,0,0.643224,0.456343,0.213331,0.030757
11,0,0.649291,0.435570,0.204532,0.023730
12,0,0.655241,0.421801,0.198279,0.021389
13,0,0.658814,0.416778,0.194957,0.015315
14,0,0.660471,0.416853,0.194967,0.015983
15,0,0.663164,0.410114,0.191233,0.016813
16,1,0.665194,0.404620,0.188922,0.017036
