step,moves,tau,entropy,gini,drift
1,1493,0.146029,0.932442,0.412835,0.312975
2,649,0.324475,0.666528,0.301464,0.234920
3,162,0.457238,0.525087,0.239061,0.160937
4,25,0.532919,0.465322,0.213207,0.113322
5,9,0.574736,0.433139,0.199139,0.091043
6,2,0.602732,0.409402,0.188911,0.069820
7,0,0.623334,0.389233,0.179787,0.054911
8,4,0.638585,0.370780,0.171499,0.044839
9,6,0.649308,0.354724,0.164245,0.036727
10,1,0.657380,0.340917,0.158077,0.030582
11,0,0.663486,0.334687,0.155351,0.026217
12,0,0.668328,0.329705,0.153067,0.021154
13,1,0.671768,0.324955,0.150879,0.018516
14,0,0.674998,0.321370,0.149273,0.016540
15,0,0.677170,0.317626,0.147354,0.014358
16,0,0.679427,0.316040,0.146619,0.012906
