step,moves,tau,entropy,gini,drift
1,1540,0.250000,1.074078,0.470902,0.000000
2,1534,0.400000,0.723947,0.328036,0.000000
3,1593,0.600000,0.521003,0.233365,0.000000
4,1636,0.750000,0.607942,0.264377,0.000000
5,1728,0.714286,0.523470,0.229684,0.000000
6,1733,0.750000,0.536441,0.233575,0.000000
7,1582,0.714286,0.411603,0.181034,0.000000
8,1623,0.833333,0.499345,0.216644,0.000000
9,1669,0.750000,0.431405,0.189444,0.000000
10,1739,0.833333,0.504177,0.218958,0.000000
11,1679,0.750000,0.416015,0.182305,0.000000
12,1693,0.833333,0.475888,0.207446,0.000000
13,1634,0.750000,0.380047,0.167684,0.000000
14,1560,0.833333,0.411822,0.179308,0.000000
15,1680,0.833333,0.458494,0.199471,0.000000
16,1711,0.800000,0.435514,0.189277,0.000000
