step,moves,tau,entropy,gini,drift
1,3517,0.148614,0.915055,0.406862,0.311980
2,1452,0.325755,0.655056,0.296614,0.234392
3,358,0.457996,0.529655,0.241252,0.157625
4,74,0.531727,0.467636,0.214598,0.112191
5,27,0.571456,0.440080,0.202836,0.088511
6,10,0.598536,0.417387,0.192812,0.068354
7,4,0.618453,0.400650,0.185259,0.054700
8,6,0.632631,0.384226,0.177622,0.044642
9,6,0.643027,0.372844,0.172447,0.036183
10,3,0.650480,0.364354,0.168561,0.030820
11,7,0.656734,0.357016,0.165273,0.025389
12,0,0.661338,0.349462,0.161895,0.021981
