step,moves,tau,entropy,gini,drift
1,1741,0.133691,0.831276,0.373798,0.272350
2,1042,0.322591,0.522089,0.239788,0.218339
3,396,0.450437,0.409964,0.188777,0.156953
4,134,0.528532,0.359468,0.166071,0.113511
5,81,0.566089,0.332411,0.153769,0.091015
6,64,0.591642,0.315930,0.146360,0.073007
7,60,0.610939,0.300736,0.139439,0.061268
8,44,0.627314,0.289289,0.134081,0.052573
9,46,0.640979,0.278854,0.129190,0.046898
10,45,0.651861,0.269700,0.125071,0.041182
11,44,0.661728,0.260034,0.120685,0.037606
12,52,0.671205,0.249318,0.115735,0.033604
13,46,0.679805,0.237661,0.110472,0.029577
14,36,0.686994,0.231992,0.107997,0.025111
15,38,0.692651,0.226771,0.105520,0.021547
16,40,0.697257,0.220331,0.102594,0.019744
