step,moves,tau,entropy,gini,drift
1,349,0.360238,1.096046,0.479290,0.320576
2,20,0.503648,0.919994,0.408286,0.201431
3,5,0.569306,0.789747,0.353891,0.136330
4,2,0.605155,0.708871,0.319447,0.095238
5,3,0.625343,0.663298,0.299424,0.068589
6,0,0.637221,0.636930,0.287966,0.053195
7,0,0.645683,0.613769,0.277784,0.041601
8,0,0.651339,0.600039,0.271961,0.033336
9,1,0.655593,0.590540,0.267585,0.026602
10,0,0.658729,0.579546,0.262927,0.022479
11,2,0.661081,0.570112,0.258724,0.019090
12,1,0.663181,0.565491,0.256692,0.015608
13,0,0.664768,0.561413,0.254877,0.013023
14,0,0.666091,0.559563,0.253933,0.011316
15,0,0.667270,0.555397,0.252279,0.009448
16,0,0.668197,0.553264,0.251387,0.009083
