step,moves,tau,entropy,gini,drift
1,3440,0.150335,0.933144,0.412108,0.310619
2,1457,0.326124,0.654989,0.295129,0.235977
3,360,0.457997,0.516715,0.235111,0.158714
4,70,0.533515,0.454159,0.208463,0.113557
5,10,0.573368,0.428081,0.197065,0.090102
6,0,0.601886,0.403448,0.186237,0.067181
7,3,0.620966,0.383451,0.177216,0.054580
8,3,0.634917,0.366587,0.169677,0.044563
9,3,0.645740,0.354713,0.164318,0.036514
10,1,0.653360,0.344900,0.159874,0.030390
11,4,0.659364,0.340174,0.157761,0.025153
12,5,0.664118,0.333586,0.154756,0.021189
