step,moves,tau,entropy,gini,drift
1,788,0.355460,1.112520,0.485016,0.327147
2,43,0.500739,0.928269,0.411656,0.205073
3,6,0.569070,0.794923,0.355915,0.137573
4,2,0.605564,0.715191,0.321932,0.096447
5,1,0.625426,0.670364,0.302610,0.069303
6,1,0.637832,0.640610,0.289847,0.052376
7,4,0.646065,0.619454,0.280815,0.042164
8,1,0.652052,0.602528,0.273518,0.033552
9,0,0.656471,0.595049,0.270182,0.026852
10,1,0.659607,0.587073,0.266675,0.022126
11,1,0.662156,0.580237,0.263626,0.018251
12,1,0.664045,0.575513,0.261532,0.015964
