step,moves,tau,entropy,gini,drift
1,313,0.154238,0.937187,0.415396,0.312488
2,92,0.338346,0.680136,0.306119,0.222307
3,15,0.463872,0.538058,0.247186,0.148510
4,1,0.535546,0.496749,0.229573,0.112327
5,1,0.577034,0.478376,0.220589,0.084995
6,0,0.601976,0.446385,0.205686,0.066022
7,0,0.622246,0.423706,0.195985,0.052262
8,2,0.634940,0.401192,0.186254,0.041951
9,0,0.645008,0.384407,0.178438,0.034896
10,0,0.652866,0.378024,0.175654,0.029495
11,0,0.658805,0.363092,0.168811,0.025096
12,0,0.662675,0.353624,0.164252,0.021456
13,1,0.666131,0.344636,0.160423,0.019603
14,0,0.669402,0.339115,0.158008,0.016067
15,0,0.671989,0.332666,0.154890,0.014790
16,0,0.674396,0.329905,0.153611,0.013069
