step,moves,tau,entropy,gini,drift
1,768,0.151434,0.949436,0.421275,0.313547
2,282,0.325309,0.709360,0.319190,0.230967
3,76,0.456118,0.559527,0.254674,0.156830
4,14,0.529460,0.482566,0.221242,0.111623
5,4,0.568964,0.445644,0.205171,0.086908
6,1,0.596657,0.424420,0.195519,0.068865
7,2,0.616739,0.402781,0.185873,0.052730
8,0,0.630145,0.388703,0.179596,0.043819
9,0,0.640660,0.372242,0.172048,0.034964
10,3,0.648108,0.363714,0.168155,0.031649
11,1,0.655032,0.357382,0.165334,0.025758
12,1,0.659812,0.351463,0.162668,0.022280
13,0,0.663714,0.347402,0.160773,0.019955
14,0,0.667078,0.342430,0.158311,0.017816
15,1,0.670053,0.339872,0.157142,0.015602
16,0,0.672300,0.336428,0.155447,0.013404
