step,moves,tau,entropy,gini,drift
1,867,0.250000,1.089979,0.480071,0.000000
2,962,0.428571,0.723855,0.328663,0.000000
3,854,0.600000,0.505897,0.228008,0.000000
4,914,0.750000,0.603143,0.262844,0.000000
5,959,0.714286,0.511477,0.225132,0.000000
6,917,0.750000,0.485822,0.212992,0.000000
7,885,0.750000,0.434203,0.190917,0.000000
8,967,0.833333,0.528109,0.229634,0.000000
9,957,0.750000,0.422940,0.185787,0.000000
10,941,0.833333,0.487980,0.211772,0.000000
11,899,0.750000,0.401878,0.177213,0.000000
12,932,0.833333,0.475704,0.206970,0.000000
13,896,0.750000,0.369936,0.164812,0.000000
14,881,0.833333,0.432163,0.188683,0.000000
15,909,0.800000,0.424894,0.187537,0.000000
16,966,0.833333,0.451241,0.197098,0.000000
