step,moves,tau,entropy,gini,drift
1,3507,0.148821,0.904146,0.401656,0.313634
2,1523,0.331650,0.618028,0.279786,0.236732
3,421,0.466342,0.476643,0.217631,0.159846
4,88,0.539286,0.421207,0.193774,0.113513
5,25,0.579385,0.397949,0.183576,0.089551
6,12,0.607520,0.378689,0.174898,0.068249
7,7,0.627123,0.361694,0.167199,0.054341
8,4,0.641250,0.346291,0.160331,0.043557
9,2,0.651363,0.337946,0.156451,0.035331
10,5,0.658688,0.328982,0.152576,0.029015
11,0,0.664157,0.322967,0.149912,0.024658
12,2,0.668657,0.317344,0.147388,0.020941
