step,moves,tau,entropy,gini,drift
1,881,0.275583,0.979697,0.434370,0.359681
2,266,0.439211,0.732547,0.332021,0.232501
3,88,0.524301,0.562241,0.257128,0.153932
4,60,0.575571,0.469788,0.215935,0.100028
5,47,0.603572,0.414156,0.190685,0.072703
6,40,0.620872,0.379000,0.174979,0.058537
7,27,0.634460,0.359833,0.166395,0.047266
8,23,0.643611,0.342017,0.158292,0.039887
9,19,0.650775,0.325166,0.150682,0.036552
10,25,0.656746,0.311120,0.144193,0.033848
11,23,0.661483,0.300341,0.139245,0.031640
12,16,0.666262,0.290617,0.134851,0.030505
13,16,0.670434,0.280754,0.130484,0.029781
14,11,0.674725,0.269522,0.125486,0.030245
15,15,0.678673,0.260778,0.121476,0.028980
16,13,0.681870,0.252632,0.117624,0.027952
