step,moves,tau,entropy,gini,drift
1,19,0.485572,1.151401,0.502239,0.300138
2,5,0.581673,0.977133,0.433042,0.193304
3,1,0.620457,0.866733,0.386239,0.127367
4,0,0.641393,0.816245,0.364854,0.090836
5,0,0.653367,0.785458,0.351248,0.068956
6,0,0.661240,0.760810,0.341041,0.049053
7,0,0.666229,0.748602,0.335880,0.037261
8,0,0.669407,0.735761,0.330645,0.027805
9,0,0.671888,0.728530,0.327551,0.022604
10,0,0.673494,0.723182,0.325234,0.017550
11,0,0.674702,0.720773,0.324442,0.013586
12,0,0.675596,0.720652,0.324408,0.011739
13,0,0.676304,0.720402,0.324273,0.008967
14,1,0.676833,0.716487,0.322390,0.007328
15,0,0.677379,0.715053,0.321945,0.005869
16,0,0.677748,0.712696,0.320884,0.004836
